Country,Postal Code,City,Borough,Latitude,Longitude
Austria,1010,Wien, Innere Stadt,48.2077,16.3705
Austria,1020,Wien, Leopoldstadt,48.2167,16.4
Austria,1030,Wien, Landstrasse,48.1981,16.3948
Austria,1040,Wien, Wieden,48.192,16.3671
Austria,1050,Wien, Margareten,48.1865,16.3549
Austria,1060,Wien, Mariahilf,48.1952,16.3503
Austria,1070,Wien, Neubau,48.2,16.35
Austria,1080,Wien, Josefstadt,48.2167,16.35
Austria,1090,Wien, Alsergrund,48.2333,16.35
Austria,1100,Wien, Favoriten,48.1521,16.3878
Austria,1110,Wien, Simmering,48.164,16.4463
Austria,1120,Wien, Meidling,48.1705,16.3223
Austria,1130,Wien, Hietzing,48.1773,16.2456
Austria,1140,Wien, Penzing,48.221,16.2415
Austria,1150,Wien, Rudolfsheim-Fuenfhaus,48.196,16.3183
Austria,1160,Wien, Ottakring,48.2167,16.3
Austria,1170,Wien, Hernals,48.2338,16.2901
Austria,1180,Wien, Waehring,48.2356,16.3193
Austria,1190,Wien, Doebling,48.2591,16.3339
Austria,1200,Wien, Brigittenau,48.2402,16.3773
Austria,1210,Wien, Floridsdorf,48.2811,16.4113
Austria,1220,Wien, Donaustadt,48.219,16.495
Austria,1230,Wien, Liesing,48.1433,16.2934